Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
1919 - 1948;70 - 79;7 - 12 Wohnungen;(254);784;323;172;6;19;24;29;(47);24;(75);28;(33);(16);(15)
1919 - 1948;70 - 79;13 und mehr Wohnungen;18;(117);77;13;9;-;6;-;9;6;-;-;15;3;9
1919 - 1948;80 - 89;1 Wohnung;(130);730;628;234;565;420;574;462;503;393;763;388;336;323;373
1919 - 1948;80 - 89;2 Wohnungen;(16);(137);185;(56);(169);143;(197);234;(311);(113);(275);236;210;129;(204)
1919 - 1948;80 - 89;3 - 6 Wohnungen;(65);253;295;(87);129;(91);(144);(125);212;99;267;(141);(127);(139);(124)
1919 - 1948;80 - 89;7 - 12 Wohnungen;(137);492;113;69;6;(32);3;(9);30;6;43;(29);(16);3;(24)
1919 - 1948;80 - 89;13 und mehr Wohnungen;3;87;6;3;-;6;9;-;-;3;6;3;-;-;3
1919 - 1948;90 - 99;1 Wohnung;150;652;577;(250);502;426;512;476;596;286;676;500;343;333;439
1919 - 1948;90 - 99;2 Wohnungen;(48);125;(164);61;137;(117);116;(129);197;(115);218;(166);134;(137);125
1919 - 1948;90 - 99;3 - 6 Wohnungen;37;227;(111);66;(99);95;(113);(105);122;57;(198);(139);(131);(81);(82)
1919 - 1948;90 - 99;7 - 12 Wohnungen;(45);282;60;27;3;16;-;18;(12);10;37;14;7;6;-
1919 - 1948;90 - 99;13 und mehr Wohnungen;7;44;10;3;3;-;-;3;3;-;-;-;3;-;3
1919 - 1948;100 - 109;1 Wohnung;178;620;814;(300);561;423;618;502;575;344;719;476;393;443;495
1919 - 1948;100 - 109;2 Wohnungen;21;112;(141);36;(135);(120);(138);137;(167);(78);(244);157;(141);89;(111)
1919 - 1948;100 - 109;3 - 6 Wohnungen;(47);166;115;(19);(72);59;(88);(88);136;(50);(154);(100);(79);74;(88)
1919 - 1948;100 - 109;7 - 12 Wohnungen;29;(141);(44);13;-;3;-;9;15;21;12;3;3;7;(12)
1919 - 1948;100 - 109;13 und mehr Wohnungen;-;(54);3;-;-;-;-;-;-;-;-;-;3;-;-
1919 - 1948;110 - 119;1 Wohnung;112;345;441;(148);377;252;354;231;373;(174);427;(282);282;255;316
1919 - 1948;110 - 119;2 Wohnungen;15;(31);60;(23);45;66;(39);(87);(60);50;(119);(80);(72);53;(86)
1919 - 1948;110 - 119;3 - 6 Wohnungen;32;88;54;13;(18);(59);(40);48;(48);37;(91);37;(29);31;54
1919 - 1948;110 - 119;7 - 12 Wohnungen;15;(78);-;7;-;3;6;3;7;6;6;11;3;6;3
1919 - 1948;110 - 119;13 und mehr Wohnungen;3;32;3;6;-;-;3;-;6;-;-;-;-;-;-
1919 - 1948;120 - 129;1 Wohnung;166;531;601;238;604;428;623;511;558;330;754;610;412;468;497
